,date_on_str,instrument,buy_traded_date_time,buy_direction,buy_price,sell_traded_date_time,sell_direction,sell_price,candle_position,profit_loss,qty,profit_loss_points
0,2020-02-11,0.33,2020-02-11 10:15:00+05:30,up,31430.35,2020-02-11 15:20:00+05:30,down,31292.7,False,137.64999999999782,1,137.64999999999782
1,2020-04-27,0.56,2020-04-27 11:00:00+05:30,up,20082.55,2020-04-27 15:20:00+05:30,down,20069.25,False,13.299999999999272,2,26.599999999998545
2,2020-05-21,1.21,2020-05-21 10:50:00+05:30,up,18128.65,2020-05-21 15:20:00+05:30,down,17750.15,False,378.5,3,1135.5
3,2020-06-19,1.04,2020-06-19 12:15:00+05:30,up,21340.05,2020-06-19 15:20:00+05:30,down,21336.65,False,3.399999999997817,4,13.599999999991269
4,2020-07-29,0.96,2020-07-29 12:05:00+05:30,up,22284.35,2020-07-29 15:20:00+05:30,down,22073.55,False,210.79999999999927,5,1053.9999999999964
5,2020-08-11,0.62,2020-08-11 15:00:00+05:30,up,22219.55,2020-08-11 15:20:00+05:30,down,22236.75,False,-17.200000000000728,6,-103.20000000000437
6,2020-08-26,0.69,2020-08-26 14:10:00+05:30,up,23275.85,2020-08-26 15:20:00+05:30,down,23436.9,False,-161.0500000000029,1,-161.0500000000029
7,2020-08-28,0.91,2020-08-28 09:55:00+05:30,up,23894.05,2020-08-28 15:20:00+05:30,down,24535.8,False,-641.75,1,-641.75
8,2020-10-23,0.43,2020-10-23 15:20:00+05:30,up,24464.15,2020-10-23 11:15:00+05:30,down,24487.75,True,-23.599999999998545,1,-23.599999999998545
9,2020-11-03,1.27,2020-11-03 11:55:00+05:30,up,25448.95,2020-11-03 15:20:00+05:30,down,25703.7,False,-254.75,1,-254.75
10,2020-11-18,0.95,2020-11-18 09:40:00+05:30,up,29375.15,2020-11-18 15:20:00+05:30,down,29750.0,False,-374.84999999999854,1,-374.84999999999854
11,2020-12-09,0.32,2020-12-09 10:50:00+05:30,up,30435.75,2020-12-09 15:20:00+05:30,down,30693.8,False,-258.0499999999993,1,-258.0499999999993
12,2020-12-11,0.39,2020-12-11 09:55:00+05:30,up,30731.95,2020-12-11 15:20:00+05:30,down,30621.55,False,110.40000000000146,1,110.40000000000146
13,2021-04-08,0.33,2021-04-08 15:20:00+05:30,up,32777.85,2021-04-08 11:55:00+05:30,down,33097.0,True,-319.15000000000146,2,-638.3000000000029
14,2021-06-25,0.35,2021-06-25 09:50:00+05:30,up,35057.5,2021-06-25 15:20:00+05:30,down,35335.5,False,-278.0,1,-278.0
15,2021-06-28,0.4,2021-06-28 15:20:00+05:30,up,35401.65,2021-06-28 10:00:00+05:30,down,35402.1,True,-0.4499999999970896,1,-0.4499999999970896
16,2021-07-06,0.44,2021-07-06 10:15:00+05:30,up,35435.0,2021-07-06 15:20:00+05:30,down,35510.1,False,-75.09999999999854,1,-75.09999999999854
17,2021-07-27,0.36,2021-07-27 15:20:00+05:30,up,34807.4,2021-07-27 12:45:00+05:30,down,34940.9,True,-133.5,1,-133.5
18,2021-08-25,0.35,2021-08-25 15:20:00+05:30,up,35621.5,2021-08-25 10:25:00+05:30,down,35659.85,True,-38.349999999998545,1,-38.349999999998545
19,2021-09-03,0.57,2021-09-03 15:20:00+05:30,up,36823.4,2021-09-03 11:50:00+05:30,down,36756.45,True,66.95000000000437,1,66.95000000000437
20,2021-09-16,0.31,2021-09-16 11:55:00+05:30,up,37296.6,2021-09-16 15:20:00+05:30,down,37704.1,False,-407.5,2,-815.0
21,2021-10-06,0.51,2021-10-06 10:15:00+05:30,up,37864.95,2021-10-06 15:20:00+05:30,down,37527.2,False,337.75,1,337.75
22,2021-10-22,0.35,2021-10-22 10:20:00+05:30,up,40310.75,2021-10-22 15:20:00+05:30,down,40340.85,False,-30.099999999998545,2,-60.19999999999709
23,2021-11-02,0.45,2021-11-02 15:20:00+05:30,up,39939.0,2021-11-02 10:05:00+05:30,down,39782.1,True,156.90000000000146,1,156.90000000000146
24,2021-12-03,0.69,2021-12-03 15:20:00+05:30,up,36254.65,2021-12-03 13:50:00+05:30,down,36339.65,True,-85.0,2,-170.0
25,2021-12-31,0.61,2021-12-31 10:00:00+05:30,up,35439.3,2021-12-31 15:20:00+05:30,down,35486.1,False,-46.799999999995634,1,-46.799999999995634
26,2022-01-03,0.33,2022-01-03 10:45:00+05:30,up,35872.25,2022-01-03 15:20:00+05:30,down,36433.85,False,-561.5999999999985,1,-561.5999999999985
27,2022-01-07,0.61,2022-01-07 10:40:00+05:30,up,38031.3,2022-01-07 15:20:00+05:30,down,37802.3,False,229.0,1,229.0
28,2022-03-16,0.38,2022-03-16 09:55:00+05:30,up,35687.5,2022-03-16 15:20:00+05:30,down,35707.45,False,-19.94999999999709,2,-39.89999999999418
29,2022-04-13,0.25,2022-04-13 15:20:00+05:30,up,37451.4,2022-04-13 10:50:00+05:30,down,37786.5,True,-335.09999999999854,1,-335.09999999999854
30,2022-05-17,0.51,2022-05-17 11:55:00+05:30,up,34071.0,2022-05-17 15:20:00+05:30,down,34306.0,False,-235.0,1,-235.0
31,2022-07-18,0.36,2022-07-18 11:45:00+05:30,up,34966.5,2022-07-18 15:20:00+05:30,down,35366.2,False,-399.6999999999971,1,-399.6999999999971
32,2022-07-22,0.45,2022-07-22 11:25:00+05:30,up,36464.2,2022-07-22 15:20:00+05:30,down,36700.9,False,-236.70000000000437,1,-236.70000000000437
33,2022-07-25,0.6,2022-07-25 15:20:00+05:30,up,36665.65,2022-07-25 11:30:00+05:30,down,36557.85,True,107.80000000000291,1,107.80000000000291
34,2022-09-05,0.65,2022-09-05 10:35:00+05:30,up,39708.8,2022-09-05 15:20:00+05:30,down,39794.2,False,-85.39999999999418,2,-170.79999999998836
35,2022-09-15,0.49,2022-09-15 15:20:00+05:30,up,41213.0,2022-09-15 10:15:00+05:30,down,41500.6,True,-287.59999999999854,1,-287.59999999999854
